id,log_id,exercise_id,set_number,time_seconds,reps_completed,weight_kg
174,13,32,6,,12.0,27.5
176,14,12,1,45.0,,
178,14,125,2,30.0,,
180,14,89,3,30.0,,
182,14,54,4,30.0,,
184,14,56,5,45.0,,
186,14,71,6,,12.0,47.5
188,14,22,7,30.0,,
190,14,3,8,30.0,,
192,15,7,1,,12.0,40.0
194,15,59,2,60.0,,
196,15,3,3,30.0,,
198,15,123,4,45.0,,
200,15,115,5,30.0,,
202,15,21,6,30.0,,
204,16,134,1,45.0,,
206,16,125,2,60.0,,
208,16,16,3,30.0,,
210,16,12,4,30.0,,
212,16,21,5,45.0,,
214,17,10,1,30.0,,
216,17,136,2,60.0,,
218,17,78,3,60.0,,
220,17,40,4,,8.0,47.5
222,17,41,5,,10.0,40.0
224,17,125,6,45.0,,
226,17,19,7,30.0,,
228,18,7,1,,10.0,42.5
230,18,70,2,30.0,,
232,18,100,3,45.0,,
234,18,40,4,,10.0,47.5
236,18,18,5,30.0,,
238,18,1,6,30.0,,
240,18,98,7,60.0,,
242,18,123,8,60.0,,
244,19,126,1,60.0,,
246,19,35,2,60.0,,
248,19,44,3,45.0,,
250,19,101,4,30.0,,
252,19,50,5,60.0,,
254,19,35,6,30.0,,
256,20,27,1,60.0,,
258,20,41,2,,10.0,40.0
260,20,133,3,45.0,,
262,20,59,4,45.0,,
264,20,19,5,30.0,,
266,20,55,6,,10.0,62.5
268,20,133,7,30.0,,
270,20,45,8,60.0,,
272,21,70,1,30.0,,
274,21,2,2,30.0,,
276,21,140,3,30.0,,
278,21,17,4,45.0,,
280,21,137,5,45.0,,
282,22,141,1,30.0,,
284,22,120,2,45.0,,
286,22,32,3,,10.0,30.0
288,22,108,4,45.0,,
290,22,104,5,60.0,,
292,22,113,6,45.0,,
294,23,48,1,,10.0,45.0
296,23,140,2,30.0,,
298,23,134,3,30.0,,
300,23,26,4,45.0,,
302,23,27,5,30.0,,
304,23,89,6,60.0,,
306,23,88,7,45.0,,
308,23,148,8,45.0,,
310,24,125,1,45.0,,
312,24,26,2,30.0,,
314,24,15,3,45.0,,
316,24,18,4,45.0,,
318,24,104,5,30.0,,
320,24,31,6,60.0,,
322,24,60,7,30.0,,
324,25,41,1,,12.0,42.5
326,25,88,2,45.0,,
328,25,31,3,60.0,,
330,25,6,4,30.0,,
332,25,3,5,60.0,,
334,25,88,6,30.0,,
336,26,141,1,30.0,,
338,26,15,2,60.0,,
340,26,2,3,60.0,,
342,26,33,4,,8.0,60.0
344,26,77,5,45.0,,
346,26,18,6,45.0,,
348,26,60,7,30.0,,
350,26,123,8,45.0,,
352,27,76,1,45.0,,
354,27,5,2,45.0,,
356,27,8,3,,8.0,60.0
358,27,5,4,30.0,,
360,27,48,5,,12.0,35.0
362,28,41,1,,10.0,32.5
364,28,45,2,30.0,,
366,28,60,3,60.0,,
368,28,123,4,45.0,,
370,28,70,5,30.0,,
372,29,31,1,60.0,,
374,29,21,2,30.0,,
376,29,1,3,30.0,,
378,29,125,4,45.0,,
380,29,6,5,45.0,,
382,29,59,6,30.0,,
384,29,2,7,30.0,,
386,29,125,8,60.0,,
388,30,40,1,,10.0,40.0
390,30,33,2,,8.0,62.5
392,30,76,3,60.0,,
394,30,33,4,,10.0,62.5
396,30,45,5,60.0,,
398,30,146,6,,8.0,22.5
400,30,137,7,30.0,,
402,31,59,1,30.0,,
404,31,8,2,,8.0,62.5
406,31,19,3,60.0,,
408,31,108,4,45.0,,
410,31,63,5,,8.0,25.0
412,31,85,6,,10.0,22.5
414,32,84,1,60.0,,
416,32,92,2,45.0,,
418,32,143,3,60.0,,
420,32,35,4,30.0,,
422,32,19,5,60.0,,
424,33,96,1,30.0,,
426,33,21,2,60.0,,
428,33,102,3,45.0,,
430,33,17,4,30.0,,
432,33,146,5,,10.0,22.5
434,33,98,6,60.0,,
436,33,76,7,30.0,,
438,33,121,8,45.0,,
440,34,70,1,60.0,,
442,34,77,2,30.0,,
444,34,53,3,,10.0,50.0
446,34,59,4,45.0,,
448,34,84,5,45.0,,
450,34,17,6,60.0,,
452,34,44,7,45.0,,
454,35,102,1,45.0,,
456,35,59,2,60.0,,
458,35,38,3,45.0,,
460,35,22,4,60.0,,
462,35,59,5,60.0,,
464,35,32,6,,8.0,25.0
466,36,22,1,60.0,,
468,36,149,2,60.0,,
470,36,136,3,45.0,,
472,36,101,4,45.0,,
474,36,75,5,60.0,,
476,36,53,6,,8.0,52.5
478,37,48,1,,12.0,40.0
480,37,13,2,,12.0,65.0
482,37,31,3,45.0,,
484,37,133,4,60.0,,
486,37,6,5,60.0,,
488,38,129,1,45.0,,
490,38,108,2,30.0,,
492,38,25,3,60.0,,
494,38,146,4,,12.0,25.0
496,38,72,5,,12.0,42.5
498,38,104,6,45.0,,
500,38,149,7,30.0,,
502,39,3,1,30.0,,
504,39,89,2,45.0,,
506,39,6,3,45.0,,
508,39,149,4,30.0,,
510,39,13,5,,12.0,67.5
512,40,75,1,45.0,,
514,40,121,2,60.0,,
516,40,2,3,30.0,,
518,40,32,4,,8.0,27.5
520,40,45,5,30.0,,
522,40,101,6,30.0,,
524,40,125,7,30.0,,
526,40,13,8,,12.0,67.5
528,41,41,1,,10.0,40.0
530,41,92,2,60.0,,
532,41,113,3,60.0,,
534,41,31,4,30.0,,
536,41,135,5,,12.0,65.0
538,41,71,6,,8.0,50.0
540,41,125,7,30.0,,
542,42,42,1,30.0,,
544,42,31,2,45.0,,
546,42,76,3,45.0,,
548,42,100,4,45.0,,
550,42,13,5,,10.0,70.0
552,42,136,6,30.0,,
554,42,13,7,,8.0,70.0
556,43,15,1,45.0,,
558,43,76,2,45.0,,
560,43,121,3,45.0,,
562,43,120,4,30.0,,
564,43,3,5,60.0,,
566,43,148,6,45.0,,
568,44,22,1,60.0,,
570,44,32,2,,12.0,27.5
572,44,19,3,45.0,,
574,44,141,4,45.0,,
576,44,8,5,,10.0,72.5
578,44,96,6,60.0,,
580,45,40,1,,8.0,50.0
582,45,121,2,30.0,,
584,45,136,3,60.0,,
586,45,102,4,45.0,,
588,45,55,5,,8.0,62.5
590,45,100,6,30.0,,
592,46,26,1,60.0,,
594,46,40,2,,8.0,50.0
596,46,75,3,60.0,,
598,46,53,4,,8.0,60.0
600,46,98,5,60.0,,
602,46,92,6,60.0,,
604,46,10,7,45.0,,
606,46,62,8,45.0,,
608,47,98,1,60.0,,
610,47,97,2,,10.0,75.0
612,47,133,3,45.0,,
614,47,55,4,,10.0,62.5
616,47,135,5,,10.0,70.0
618,47,5,6,45.0,,
620,47,18,7,45.0,,
622,47,129,8,45.0,,
624,48,75,1,30.0,,
626,48,27,2,30.0,,
628,48,25,3,45.0,,
630,48,12,4,30.0,,
632,48,88,5,30.0,,
634,49,71,1,,12.0,55.0
636,49,134,2,45.0,,
638,49,70,3,60.0,,
640,49,25,4,60.0,,
642,49,63,5,,10.0,32.5
644,49,133,6,30.0,,
646,50,92,1,45.0,,
648,50,6,2,60.0,,
650,50,9,3,60.0,,
652,50,45,4,60.0,,
654,50,89,5,30.0,,
656,51,141,1,48.0,,
658,51,33,2,,12.0,35.0
660,51,101,3,24.0,,
662,51,100,4,48.0,,
664,51,41,5,,12.0,20.0
666,51,72,6,,8.0,22.5
668,51,5,7,48.0,,
670,51,3,8,48.0,,
672,52,84,1,24.0,,
674,52,80,2,24.0,,
676,52,71,3,,10.0,25.0
678,52,104,4,36.0,,
680,52,102,5,24.0,,
682,52,22,6,36.0,,
684,52,102,7,36.0,,
686,53,115,1,24.0,,
688,53,141,2,48.0,,
690,53,100,3,24.0,,
692,53,80,4,24.0,,
694,53,96,5,48.0,,
696,53,8,6,,8.0,35.0
698,53,78,7,24.0,,
700,53,113,8,24.0,,
702,54,76,1,48.0,,
704,54,100,2,36.0,,
706,54,21,3,48.0,,
708,54,149,4,24.0,,
710,54,62,5,36.0,,
712,54,60,6,48.0,,
714,54,121,7,24.0,,
716,54,85,8,,10.0,12.5
718,55,70,1,36.0,,
720,55,148,2,24.0,,
722,55,41,3,,12.0,20.0
724,55,25,4,24.0,,
726,55,40,5,,8.0,25.0
728,55,8,6,,8.0,37.5
730,55,141,7,24.0,,
732,55,21,8,36.0,,
734,56,104,1,36.0,,
736,56,6,2,48.0,,
738,56,11,3,24.0,,
740,56,12,4,24.0,,
742,56,31,5,24.0,,
744,56,2,6,36.0,,
746,57,142,1,,12.0,25.0
748,57,59,2,24.0,,
750,57,59,3,36.0,,
752,57,1,4,36.0,,
754,57,85,5,,12.0,15.0
756,58,6,1,36.0,,
758,58,75,2,48.0,,
760,58,125,3,48.0,,
762,58,53,4,,8.0,30.0
764,58,84,5,36.0,,
766,58,42,6,48.0,,
768,58,40,7,,8.0,25.0
770,58,33,8,,8.0,40.0
772,59,97,1,,12.0,37.5
774,59,104,2,36.0,,
776,59,56,3,48.0,,
778,59,126,4,36.0,,
780,59,48,5,,10.0,22.5
782,60,121,1,48.0,,
784,60,19,2,24.0,,
786,60,55,3,,8.0,32.5
788,60,63,4,,10.0,17.5
790,60,33,5,,10.0,40.0
792,60,50,6,36.0,,
794,60,75,7,24.0,,
796,61,13,1,,10.0,37.5
798,61,3,2,24.0,,
800,61,136,3,36.0,,
802,61,8,4,,12.0,40.0
804,61,115,5,36.0,,
806,61,120,6,48.0,,
808,62,129,1,48.0,,
810,62,53,2,,8.0,32.5
812,62,70,3,24.0,,
814,62,133,4,36.0,,
816,62,101,5,24.0,,
818,62,18,6,36.0,,
820,62,54,7,48.0,,
822,62,134,8,24.0,,
824,63,17,1,24.0,,
826,63,135,2,,10.0,37.5
828,63,56,3,24.0,,
830,63,88,4,24.0,,
832,63,76,5,36.0,,
834,63,12,6,24.0,,
836,63,100,7,24.0,,
838,63,113,8,24.0,,
840,64,92,1,48.0,,
842,64,129,2,48.0,,
844,64,149,3,48.0,,
846,64,38,4,48.0,,
848,64,48,5,,8.0,25.0
850,64,137,6,36.0,,
852,65,15,1,48.0,,
854,65,89,2,48.0,,
856,65,141,3,48.0,,
858,65,71,4,,12.0,30.0
860,65,75,5,36.0,,
862,65,136,6,48.0,,
864,66,80,1,24.0,,
866,66,97,2,,8.0,42.5
868,66,137,3,36.0,,
870,66,18,4,36.0,,
872,66,96,5,24.0,,
874,66,104,6,24.0,,
876,66,56,7,48.0,,
878,66,88,8,36.0,,
880,67,12,1,24.0,,
882,67,25,2,36.0,,
884,67,15,3,24.0,,
886,67,40,4,,8.0,27.5
888,67,21,5,24.0,,
890,67,1,6,24.0,,
892,67,149,7,48.0,,
894,67,38,8,24.0,,
896,68,53,1,,8.0,35.0
898,68,113,2,36.0,,
900,68,12,3,24.0,,
902,68,72,4,,12.0,27.5
904,68,38,5,48.0,,
906,68,32,6,,10.0,17.5
908,68,84,7,48.0,,
910,69,1,1,36.0,,
912,69,11,2,48.0,,
914,69,85,3,,10.0,17.5
916,69,85,4,,10.0,17.5
918,69,108,5,48.0,,
920,69,33,6,,12.0,45.0
922,69,123,7,48.0,,
924,69,17,8,36.0,,
926,70,72,1,,10.0,27.5
928,70,140,2,36.0,,
930,70,56,3,24.0,,
932,70,126,4,24.0,,
934,70,120,5,48.0,,
936,71,45,1,48.0,,
938,71,142,2,,8.0,30.0
940,71,6,3,24.0,,
942,71,146,4,,10.0,17.5
944,71,88,5,48.0,,
946,71,56,6,24.0,,
948,71,149,7,36.0,,
950,71,48,8,,10.0,27.5
952,72,129,1,24.0,,
954,72,78,2,24.0,,
956,72,141,3,36.0,,
958,72,12,4,36.0,,
960,72,10,5,36.0,,
962,72,97,6,,12.0,45.0
964,72,146,7,,12.0,17.5
966,72,33,8,,12.0,47.5
968,73,5,1,48.0,,
970,73,40,2,,8.0,30.0
972,73,96,3,24.0,,
974,73,50,4,24.0,,
976,73,85,5,,12.0,17.5
978,74,15,1,48.0,,
980,74,13,2,,8.0,45.0
982,74,11,3,36.0,,
984,74,8,4,,12.0,47.5
986,74,76,5,24.0,,
988,74,146,6,,12.0,17.5
990,74,80,7,24.0,,
992,74,62,8,36.0,,
994,75,135,1,,12.0,42.5
996,75,6,2,48.0,,
998,75,89,3,36.0,,
1000,75,113,4,48.0,,
1002,75,115,5,36.0,,
1004,75,134,6,48.0,,
1006,75,121,7,48.0,,
1008,76,41,1,,8.0,20.0
1010,76,15,2,48.0,,
1012,76,89,3,24.0,,
1014,76,70,4,36.0,,
1016,76,53,5,,8.0,27.5
1018,76,54,6,48.0,,
1020,76,85,7,,12.0,12.5
1022,76,32,8,,12.0,12.5
1024,77,89,1,36.0,,
1026,77,142,2,,12.0,22.5
1028,77,16,3,24.0,,
1030,77,146,4,,8.0,12.5
1032,77,104,5,24.0,,
1034,77,148,6,36.0,,
1036,77,133,7,48.0,,
1038,78,85,1,,8.0,12.5
1040,78,48,2,,10.0,20.0
1042,78,126,3,48.0,,
1044,78,3,4,36.0,,
1046,78,78,5,48.0,,
1048,79,72,1,,8.0,22.5
1050,79,56,2,24.0,,
1052,79,38,3,36.0,,
1054,79,129,4,36.0,,
1056,79,134,5,36.0,,
1058,80,15,1,36.0,,
1060,80,44,2,36.0,,
1062,80,70,3,48.0,,
1064,80,88,4,48.0,,
1066,80,72,5,,12.0,22.5
1068,80,10,6,36.0,,
1070,81,70,1,24.0,,
1072,81,97,2,,10.0,37.5
1074,81,97,3,,10.0,37.5
1076,81,97,4,,10.0,37.5
1078,81,136,5,48.0,,
1080,81,16,6,24.0,,
1082,81,143,7,36.0,,
1084,81,48,8,,10.0,22.5
1086,82,96,1,36.0,,
1088,82,53,2,,10.0,30.0
1090,82,98,3,36.0,,
1092,82,84,4,36.0,,
1094,82,121,5,24.0,,
1096,82,11,6,24.0,,
1098,83,101,1,36.0,,
1100,83,19,2,24.0,,
1102,83,17,3,48.0,,
1104,83,40,4,,10.0,25.0
1106,83,44,5,36.0,,
1108,84,11,1,24.0,,
1110,84,50,2,48.0,,
1112,84,98,3,48.0,,
1114,84,33,4,,12.0,40.0
1116,84,38,5,36.0,,
1118,85,1,1,36.0,,
1120,85,70,2,36.0,,
1122,85,13,3,,10.0,37.5
1124,85,101,4,36.0,,
1126,85,89,5,36.0,,
1128,85,80,6,36.0,,
1130,85,50,7,36.0,,
1132,86,48,1,,12.0,22.5
1134,86,12,2,24.0,,
1136,86,53,3,,8.0,32.5
1138,86,15,4,24.0,,
1140,86,98,5,48.0,,
1142,86,136,6,24.0,,
1144,86,108,7,48.0,,
1146,87,78,1,48.0,,
1148,87,31,2,36.0,,
1150,87,18,3,24.0,,
1152,87,85,4,,10.0,15.0
1154,87,3,5,36.0,,
1156,87,92,6,36.0,,
1158,87,2,7,36.0,,
1160,88,77,1,36.0,,
1162,88,88,2,24.0,,
1164,88,72,3,,12.0,25.0
1166,88,19,4,36.0,,
1168,88,115,5,48.0,,
1170,88,101,6,24.0,,
1172,88,13,7,,10.0,40.0
1174,89,38,1,48.0,,
1176,89,113,2,24.0,,
1178,89,40,3,,8.0,27.5
1180,89,96,4,24.0,,
1182,89,136,5,48.0,,
1184,89,1,6,36.0,,
1186,90,146,1,,10.0,15.0
1188,90,75,2,36.0,,
1190,90,113,3,36.0,,
1192,90,115,4,36.0,,
1194,90,71,5,,12.0,30.0
1196,90,56,6,24.0,,
1198,90,89,7,36.0,,
1200,90,5,8,36.0,,
1202,91,108,1,36.0,,
1204,91,140,2,24.0,,
1206,91,48,3,,12.0,25.0
1208,91,17,4,48.0,,
1210,91,135,5,,8.0,37.5
1212,92,56,1,48.0,,
1214,92,148,2,24.0,,
1216,92,38,3,36.0,,
1218,92,50,4,48.0,,
1220,92,35,5,48.0,,
1222,92,123,6,24.0,,
1224,92,115,7,36.0,,
1226,93,72,1,,10.0,27.5
1228,93,135,2,,10.0,40.0
1230,93,148,3,48.0,,
1232,93,33,4,,12.0,45.0
1234,93,78,5,36.0,,
1236,94,140,1,48.0,,
1238,94,149,2,36.0,,
1240,94,54,3,24.0,,
1242,94,88,4,24.0,,
1244,94,50,5,36.0,,
1246,94,140,6,48.0,,
1248,94,59,7,48.0,,
1250,94,71,8,,10.0,30.0
1252,95,92,1,48.0,,
1254,95,56,2,24.0,,
1256,95,60,3,36.0,,
1258,95,9,4,48.0,,
1260,95,88,5,48.0,,
1262,95,148,6,24.0,,
1264,95,5,7,48.0,,
1266,96,38,1,48.0,,
1268,96,80,2,36.0,,
1270,96,8,3,,12.0,45.0
1272,96,7,4,,10.0,25.0
1274,96,56,5,36.0,,
1276,96,85,6,,8.0,17.5
1278,96,113,7,36.0,,
1280,97,13,1,,10.0,45.0
1282,97,98,2,48.0,,
1284,97,11,3,36.0,,
1286,97,5,4,36.0,,
1288,97,60,5,36.0,,
1290,97,102,6,36.0,,
1292,97,126,7,36.0,,
1294,98,89,1,48.0,,
1296,98,113,2,36.0,,
1298,98,5,3,24.0,,
1300,98,17,4,48.0,,
1302,98,143,5,24.0,,
1304,98,132,6,,10.0,27.5
1306,98,59,7,24.0,,
1308,98,53,8,,8.0,35.0
1310,99,54,1,48.0,,
1312,99,38,2,24.0,,
1314,99,143,3,24.0,,
1316,99,15,4,48.0,,
1318,99,45,5,24.0,,
1320,99,125,6,36.0,,
1322,99,9,7,24.0,,
1324,99,32,8,,12.0,17.5
1326,100,50,1,24.0,,
1328,100,136,2,48.0,,
1330,100,41,3,,8.0,25.0
1332,100,143,4,48.0,,
1334,100,133,5,36.0,,
1336,101,72,1,,8.0,22.5
1338,101,96,2,48.0,,
1340,101,102,3,24.0,,
1342,101,89,4,48.0,,
1344,101,96,5,24.0,,
1346,101,45,6,36.0,,
1348,101,26,7,24.0,,
1350,101,32,8,,12.0,12.5
1352,102,101,1,36.0,,
1354,102,97,2,,8.0,35.0
1356,102,129,3,24.0,,
1358,102,62,4,24.0,,
1360,102,89,5,24.0,,
1362,102,60,6,48.0,,
1364,103,18,1,24.0,,
1366,103,10,2,24.0,,
1368,103,6,3,48.0,,
1370,103,101,4,24.0,,
1372,103,78,5,24.0,,
1374,103,104,6,24.0,,
1376,103,50,7,24.0,,
1378,103,84,8,24.0,,
1380,104,54,1,24.0,,
1382,104,26,2,48.0,,
1384,104,92,3,36.0,,
1386,104,12,4,36.0,,
1388,104,71,5,,8.0,25.0
1390,104,45,6,48.0,,
1392,104,121,7,36.0,,
1394,105,9,1,36.0,,
1396,105,71,2,,12.0,25.0
1398,105,134,3,24.0,,
1400,105,70,4,36.0,,
1402,105,44,5,48.0,,
1404,105,59,6,36.0,,
1406,105,1,7,48.0,,
1408,105,42,8,48.0,,
1410,106,78,1,48.0,,
1412,106,31,2,36.0,,
1414,106,98,3,48.0,,
1416,106,135,4,,8.0,35.0
1418,106,77,5,24.0,,
1420,106,48,6,,10.0,22.5
1422,106,1,7,24.0,,
1424,107,137,1,24.0,,
1426,107,63,2,,8.0,15.0
1428,107,9,3,24.0,,
1430,107,5,4,36.0,,
1432,107,2,5,48.0,,
1434,107,85,6,,10.0,15.0
1436,107,140,7,24.0,,
1438,108,134,1,48.0,,
1440,108,10,2,36.0,,
1442,108,31,3,48.0,,
1444,108,76,4,24.0,,
1446,108,11,5,48.0,,
1448,108,98,6,24.0,,
1450,108,18,7,24.0,,
1452,109,85,1,,12.0,15.0
1454,109,97,2,,10.0,37.5
1456,109,148,3,48.0,,
1458,109,45,4,48.0,,
1460,109,92,5,48.0,,
1462,109,98,6,48.0,,
1464,109,100,7,36.0,,
1466,110,78,1,48.0,,
1468,110,60,2,24.0,,
1470,110,60,3,24.0,,
1472,110,27,4,24.0,,
1474,110,53,5,,10.0,30.0
1476,111,15,1,24.0,,
1478,111,9,2,48.0,,
1480,111,56,3,48.0,,
1482,111,25,4,24.0,,
1484,111,75,5,48.0,,
1486,111,13,6,,12.0,37.5
1488,111,63,7,,8.0,17.5
1490,111,21,8,36.0,,
1492,112,136,1,36.0,,
1494,112,45,2,36.0,,
1496,112,15,3,24.0,,
1498,112,71,4,,10.0,27.5
1500,112,78,5,36.0,,
1502,112,16,6,36.0,,
1504,112,70,7,24.0,,
1506,113,70,1,48.0,,
1508,113,48,2,,12.0,25.0
1510,113,101,3,36.0,,
1512,113,120,4,48.0,,
1514,113,44,5,48.0,,
1516,113,25,6,48.0,,
1518,113,72,7,,8.0,25.0
1520,113,104,8,24.0,,
1522,114,80,1,24.0,,
1524,114,35,2,24.0,,
1526,114,63,3,,10.0,17.5
1528,114,6,4,48.0,,
1530,114,15,5,48.0,,
1532,114,19,6,24.0,,
1534,115,53,1,,8.0,32.5
1536,115,7,2,,10.0,25.0
1538,115,63,3,,10.0,17.5
1540,115,50,4,24.0,,
1542,115,45,5,36.0,,
1544,115,32,6,,12.0,17.5
1546,115,92,7,24.0,,
1548,116,98,1,36.0,,
1550,116,6,2,48.0,,
1552,116,59,3,36.0,,
1554,116,75,4,48.0,,
1556,116,12,5,48.0,,
1558,116,126,6,36.0,,
1560,117,7,1,,12.0,25.0
1562,117,62,2,24.0,,
1564,117,11,3,24.0,,
1566,117,12,4,24.0,,
1568,117,71,5,,12.0,30.0
1570,117,76,6,36.0,,
1572,117,121,7,36.0,,
1574,117,31,8,36.0,,
1576,118,18,1,36.0,,
1578,118,76,2,48.0,,
1580,118,97,3,,10.0,42.5
1582,118,92,4,48.0,,
1584,118,31,5,48.0,,
1586,118,108,6,36.0,,
1588,118,21,7,48.0,,
1590,119,132,1,,8.0,27.5
1592,119,21,2,24.0,,
1594,119,101,3,24.0,,
1596,119,32,4,,8.0,17.5
1598,119,59,5,24.0,,
1600,120,85,1,,12.0,17.5
1602,120,56,2,24.0,,
1604,120,136,3,24.0,,
1606,120,75,4,36.0,,
1608,120,53,5,,10.0,35.0
1610,120,102,6,48.0,,
1612,120,129,7,48.0,,
1614,121,92,1,24.0,,
1616,121,16,2,24.0,,
1618,121,80,3,36.0,,
1620,121,129,4,36.0,,
1622,121,15,5,48.0,,
1624,121,132,6,,10.0,27.5
1626,122,10,1,24.0,,
1628,122,136,2,36.0,,
1630,122,40,3,,12.0,30.0
1632,122,76,4,36.0,,
1634,122,17,5,36.0,,
1636,122,18,6,48.0,,
1638,123,19,1,24.0,,
1640,123,80,2,24.0,,
1642,123,142,3,,10.0,30.0
1644,123,40,4,,10.0,30.0
1646,123,25,5,24.0,,
1648,123,84,6,48.0,,
1650,123,121,7,36.0,,
1652,124,136,1,48.0,,
1654,124,123,2,48.0,,
1656,124,121,3,24.0,,
1658,124,12,4,24.0,,
1660,124,60,5,36.0,,
1662,124,26,6,48.0,,
1664,124,41,7,,8.0,25.0
1666,125,132,1,,12.0,27.5
1668,125,149,2,36.0,,
1670,125,76,3,24.0,,
1672,125,15,4,36.0,,
1674,125,85,5,,8.0,17.5
1676,125,31,6,48.0,,
1678,126,38,1,30.0,,
1680,126,13,2,,10.0,55.0
1682,126,25,3,60.0,,
1684,126,143,4,45.0,,
1686,126,5,5,45.0,,
1688,126,136,6,45.0,,
1690,127,22,1,60.0,,
1692,127,53,2,,12.0,45.0
1694,127,72,3,,12.0,37.5
1696,127,7,4,,8.0,32.5
1698,127,59,5,60.0,,
1700,127,148,6,45.0,,
1702,127,101,7,30.0,,
1704,128,134,1,45.0,,
1706,128,11,2,30.0,,
1708,128,35,3,45.0,,
1710,128,132,4,,8.0,35.0
1712,128,33,5,,8.0,60.0
1714,128,133,6,30.0,,
1716,129,9,1,60.0,,
1718,129,133,2,60.0,,
1720,129,98,3,45.0,,
1722,129,35,4,45.0,,
1724,129,85,5,,8.0,22.5
1726,129,12,6,45.0,,
1728,129,135,7,,12.0,55.0
1730,129,45,8,45.0,,
1732,130,16,1,60.0,,
1734,130,76,2,60.0,,
1736,130,7,3,,12.0,35.0
1738,130,120,4,60.0,,
1740,130,120,5,60.0,,
1742,131,33,1,,12.0,62.5
1744,131,50,2,30.0,,
1746,131,133,3,30.0,,
1748,131,15,4,30.0,,
1750,131,60,5,30.0,,
1752,131,2,6,45.0,,
1754,131,11,7,30.0,,
1756,132,42,1,45.0,,
1758,132,19,2,60.0,,
1760,132,26,3,30.0,,
1762,132,54,4,30.0,,
1764,132,45,5,30.0,,
1766,132,141,6,45.0,,
1768,132,98,7,45.0,,
1770,133,129,1,45.0,,
1772,133,101,2,60.0,,
1774,133,115,3,30.0,,
1776,133,25,4,45.0,,
1778,133,44,5,30.0,,
1780,133,32,6,,10.0,25.0
1782,134,76,1,45.0,,
1784,134,45,2,30.0,,
1786,134,75,3,45.0,,
1788,134,129,4,45.0,,
1790,134,56,5,30.0,,
1792,134,25,6,30.0,,
1794,135,72,1,,10.0,42.5
1796,135,143,2,30.0,,
1798,135,121,3,45.0,,
1800,135,71,4,,10.0,45.0
1802,135,89,5,30.0,,
1804,135,148,6,45.0,,
1806,135,32,7,,10.0,25.0
1808,135,84,8,60.0,,
1810,136,78,1,30.0,,
1812,136,11,2,60.0,,
1814,136,146,3,,12.0,25.0
1816,136,32,4,,8.0,25.0
1818,136,137,5,45.0,,
1820,136,26,6,45.0,,
1822,136,22,7,30.0,,
1824,136,80,8,30.0,,
1826,137,12,1,30.0,,
1828,137,62,2,45.0,,
1830,137,41,3,,12.0,37.5
1832,137,9,4,45.0,,
1834,137,125,5,45.0,,
1836,137,92,6,45.0,,
1838,137,63,7,,12.0,27.5
