id,exercise_name,muscle_group,exercise_type,equipment_needed,video_url,instructions,difficulty_level
20,Diverse User-Facing Strategy,Biceps,strength,dumbbells,https://fightfit.ai/videos/ex_20.mp4,Quam laudantium architecto quos quos minima impedit mollitia. Quia optio dolorum earum aut sit labore. Neque quis beatae officia.,beginner
21,Enterprise-Wide Intermediate Paradigm,Full Body,cardio,kettlebell,https://fightfit.ai/videos/ex_21.mp4,Adipisci ipsa repellendus magnam molestias quam. Sint libero a quibusdam sapiente molestiae nihil.,beginner
22,Optional Context-Sensitive Instruction Set,Back,plyometric,resistance_bands,https://fightfit.ai/videos/ex_22.mp4,Ipsam nihil excepturi adipisci velit illo maiores.,beginner
23,Re-Engineered National Pricing Structure,Biceps,cardio,bodyweight,https://fightfit.ai/videos/ex_23.mp4,Tempore vero consectetur ratione tempora impedit sapiente. Aliquam numquam aperiam. Dolore cupiditate exercitationem veniam consectetur neque iste.,advanced
24,Re-Contextualized Dynamic Application,Full Body,plyometric,resistance_bands,https://fightfit.ai/videos/ex_24.mp4,Enim veniam similique ullam animi. Ab natus explicabo. Maxime autem illo sequi pariatur.,intermediate
25,Synergized Background Open Architecture,Chest,plyometric,bodyweight,https://fightfit.ai/videos/ex_25.mp4,Ea fugit soluta sint dolore quaerat quis. Voluptatum officiis et quo. Eveniet mollitia repellat aut.,advanced
26,Diverse Attitude-Oriented Website,Legs,stretch,bodyweight,https://fightfit.ai/videos/ex_26.mp4,Perferendis totam veritatis minima. Blanditiis quod perspiciatis quo id ipsam. Dolore maxime consequatur.,beginner
27,Versatile Object-Oriented Knowledge User,Core,cardio,dumbbells,https://fightfit.ai/videos/ex_27.mp4,Nemo quis magnam sunt amet illum commodi. Temporibus quia odit quia.,advanced
28,Down-Sized National Synergy,Back,strength,dumbbells,https://fightfit.ai/videos/ex_28.mp4,Eveniet nesciunt ducimus occaecati perspiciatis qui. Perferendis ratione dolor consequatur facere repellendus molestiae.,intermediate
29,Profit-Focused Composite Monitoring,Biceps,strength,resistance_bands,https://fightfit.ai/videos/ex_29.mp4,Quis doloremque at illum debitis quae. Atque animi adipisci voluptatibus cum impedit deserunt unde. Facere aliquid neque odio non laboriosam a.,advanced
30,Persistent Intermediate Projection,Chest,strength,bodyweight,https://fightfit.ai/videos/ex_30.mp4,Asperiores molestias nulla exercitationem incidunt voluptatem. Officiis debitis quod ullam explicabo nobis. Porro adipisci eum.,beginner
31,Devolved Systematic System Engine,Triceps,stretch,bodyweight,https://fightfit.ai/videos/ex_31.mp4,Molestias illo repudiandae debitis veritatis debitis velit. Dolor rem beatae temporibus quis laboriosam in. Iure fuga omnis ea.,advanced
32,Persistent Multi-Tasking Moderator,Triceps,strength,resistance_bands,https://fightfit.ai/videos/ex_32.mp4,Reprehenderit rerum earum ipsa. Tempore blanditiis doloremque nobis ullam sunt.,intermediate
33,Organic Client-Driven Algorithm,Full Body,stretch,bodyweight,https://fightfit.ai/videos/ex_33.mp4,Nesciunt voluptatibus natus. Quia nam recusandae eaque impedit cumque neque.,advanced
34,Re-Engineered Modular Time-Frame,Triceps,strength,resistance_bands,https://fightfit.ai/videos/ex_34.mp4,Expedita hic sequi nostrum ratione accusantium consequatur. Distinctio perspiciatis fugit nisi non neque minus.,advanced
35,Automated Value-Added Core,Shoulders,cardio,kettlebell,https://fightfit.ai/videos/ex_35.mp4,Harum quasi dignissimos enim facere laboriosam quia. Alias esse assumenda at neque eaque incidunt.,intermediate
36,Assimilated Heuristic Focus Group,Shoulders,cardio,dumbbells,https://fightfit.ai/videos/ex_36.mp4,Quas placeat harum totam molestiae facilis ipsa. Voluptate saepe ut perferendis praesentium quaerat. Repudiandae quidem velit dolor. Sunt perspiciatis sequi suscipit.,beginner
37,Operative Well-Modulated Info-Mediaries,Chest,cardio,resistance_bands,https://fightfit.ai/videos/ex_37.mp4,Debitis cupiditate magni perspiciatis amet. Itaque itaque atque aperiam.,advanced
38,Horizontal Eco-Centric Time-Frame,Shoulders,plyometric,resistance_bands,https://fightfit.ai/videos/ex_38.mp4,Inventore sint doloremque. Ipsum architecto neque ab aut assumenda. Maxime necessitatibus sequi voluptas.,advanced
39,Reactive Static Open System,Chest,plyometric,dumbbells,https://fightfit.ai/videos/ex_39.mp4,Cum sint occaecati dolores temporibus. Necessitatibus quia ad totam. Illum sequi reiciendis cupiditate soluta quasi. Natus explicabo sequi sapiente.,intermediate
40,Down-Sized Neutral Superstructure,Triceps,strength,bodyweight,https://fightfit.ai/videos/ex_40.mp4,Sequi ad accusantium ipsam. Totam error totam alias saepe odio. Sint fuga nemo.,intermediate
41,Optional Dedicated Migration,Triceps,strength,bodyweight,https://fightfit.ai/videos/ex_41.mp4,Eius placeat ut sequi. Consequuntur cum consequuntur animi voluptatibus. A cumque quo et animi recusandae numquam. Sed non rerum possimus voluptates ipsam.,beginner
42,Expanded Dedicated Initiative,Shoulders,stretch,bodyweight,https://fightfit.ai/videos/ex_42.mp4,Sit rerum nihil quod esse deserunt. Maxime quibusdam praesentium odit eos unde. Maxime non est occaecati doloremque.,beginner
43,Innovative Methodical Framework,Triceps,stretch,bodyweight,https://fightfit.ai/videos/ex_43.mp4,Excepturi sequi quis eveniet aut quasi odio. Hic magnam iure officia officiis molestiae magni quisquam. Iste dignissimos id vel porro pariatur.,beginner
44,Open-Architected Web-Enabled Algorithm,Triceps,strength,dumbbells,https://fightfit.ai/videos/ex_44.mp4,Alias reprehenderit sequi illo magni. Culpa hic quas dolorum placeat autem.,intermediate
45,Polarized Contextually-Based Collaboration,Core,stretch,bodyweight,https://fightfit.ai/videos/ex_45.mp4,In aliquid eum facere nobis perspiciatis molestiae. Dolor quas ducimus.,intermediate
46,Profound High-Level Process Improvement,Triceps,plyometric,bodyweight,https://fightfit.ai/videos/ex_46.mp4,Repellat reiciendis quas reiciendis harum. Id nemo enim voluptas.,intermediate
47,Virtual Executive Productivity,Back,plyometric,dumbbells,https://fightfit.ai/videos/ex_47.mp4,Adipisci sunt dolore et. Dolor explicabo omnis.,advanced
48,Triple-Buffered Fault-Tolerant Graphical User Interface,Full Body,stretch,bodyweight,https://fightfit.ai/videos/ex_48.mp4,Deleniti enim quam inventore animi facere quae. Necessitatibus mollitia dicta dicta corrupti reiciendis occaecati.,intermediate
49,Streamlined Value-Added Budgetary Management,Chest,strength,dumbbells,https://fightfit.ai/videos/ex_49.mp4,Consequatur eaque similique unde. Ipsa aspernatur laudantium est ducimus expedita. Sit laboriosam voluptatum culpa velit hic consequatur eaque. Assumenda sed voluptatem dolor voluptatibus quibusdam fuga.,beginner
50,Vision-Oriented 5Thgeneration Instruction Set,Triceps,strength,bodyweight,https://fightfit.ai/videos/ex_50.mp4,Saepe reiciendis quasi. Nisi sapiente autem maiores repellat maiores aliquid. Itaque neque distinctio placeat.,intermediate
51,Face-To-Face Static Artificial Intelligence,Biceps,stretch,bodyweight,https://fightfit.ai/videos/ex_51.mp4,Porro doloremque necessitatibus possimus inventore eveniet. Distinctio molestiae deleniti blanditiis rerum dolore quam. Nam dicta consequuntur nostrum voluptates nulla.,advanced
52,Ameliorated Well-Modulated Monitoring,Back,stretch,bodyweight,https://fightfit.ai/videos/ex_52.mp4,A accusamus tempora impedit at praesentium facilis optio. Modi dolores tenetur odio saepe iste vel est. Ipsa repellendus a voluptatem ipsum unde officia.,beginner
53,Digitized High-Level Alliance,Legs,strength,resistance_bands,https://fightfit.ai/videos/ex_53.mp4,Eveniet vel sequi ab ex eos.,beginner
54,Phased Multimedia Array,Back,strength,bodyweight,https://fightfit.ai/videos/ex_54.mp4,Illo magni ullam doloribus fuga odio quibusdam. Nisi ab quod deleniti repellat.,advanced
55,Function-Based Local Productivity,Full Body,plyometric,bodyweight,https://fightfit.ai/videos/ex_55.mp4,Ut unde vel cum nemo consequatur.,beginner
56,Managed Human-Resource Function,Full Body,stretch,bodyweight,https://fightfit.ai/videos/ex_56.mp4,Accusamus perspiciatis odio excepturi occaecati sint distinctio. Sed est cupiditate. Excepturi fuga libero excepturi.,beginner
57,Robust Dedicated Process Improvement,Triceps,cardio,bodyweight,https://fightfit.ai/videos/ex_57.mp4,Laudantium iure ipsa eaque doloribus.,intermediate
58,Virtual Optimal Moratorium,Shoulders,strength,kettlebell,https://fightfit.ai/videos/ex_58.mp4,Nemo non porro fuga. Molestiae quasi voluptatibus eveniet sit delectus placeat. Culpa fuga eum consectetur officiis repellendus ea.,intermediate
59,Cloned Demand-Driven Orchestration,Shoulders,plyometric,kettlebell,https://fightfit.ai/videos/ex_59.mp4,Porro sunt alias itaque magnam culpa dicta. Quod fugiat dolore tenetur repellendus.,beginner
60,Future-Proofed Intermediate Productivity,Triceps,plyometric,kettlebell,https://fightfit.ai/videos/ex_60.mp4,Expedita ea tenetur fugiat dolorem aperiam temporibus. Iusto nobis veritatis libero saepe.,beginner
61,Function-Based Bottom-Line Toolset,Back,cardio,dumbbells,https://fightfit.ai/videos/ex_61.mp4,Saepe magnam vel alias consequuntur laudantium. Ducimus corporis explicabo nisi velit iste.,beginner
62,Monitored Exuding Installation,Triceps,cardio,kettlebell,https://fightfit.ai/videos/ex_62.mp4,Illum culpa doloremque quae nobis. Atque illo aut consectetur.,intermediate
63,Vision-Oriented Foreground Solution,Chest,cardio,dumbbells,https://fightfit.ai/videos/ex_63.mp4,Omnis consequuntur magnam repellat. Quo assumenda perferendis placeat exercitationem. Sed ullam aperiam amet alias.,intermediate
64,User-Friendly Client-Driven Help-Desk,Shoulders,cardio,resistance_bands,https://fightfit.ai/videos/ex_64.mp4,Quaerat eligendi aperiam velit harum.,beginner
65,Right-Sized Homogeneous Internet Solution,Back,strength,kettlebell,https://fightfit.ai/videos/ex_65.mp4,Temporibus in culpa nisi.,beginner
66,Focused Incremental Instruction Set,Core,cardio,kettlebell,https://fightfit.ai/videos/ex_66.mp4,Ipsam aperiam excepturi quaerat dolorem. Qui tempore ad vitae ullam.,beginner
67,Balanced Context-Sensitive Matrix,Triceps,strength,bodyweight,https://fightfit.ai/videos/ex_67.mp4,Neque qui inventore ipsum.,intermediate
68,Cross-Platform Impactful Core,Full Body,stretch,bodyweight,https://fightfit.ai/videos/ex_68.mp4,Dolorum nostrum unde repellat fugit deleniti. Soluta necessitatibus labore nemo maiores.,advanced
69,User-Centric Responsive Model,Shoulders,stretch,bodyweight,https://fightfit.ai/videos/ex_69.mp4,Corporis quibusdam praesentium cum quasi. Ratione sit iste consequuntur commodi placeat eos. Temporibus accusantium velit quia.,beginner
70,Profound Dedicated Time-Frame,Legs,cardio,kettlebell,https://fightfit.ai/videos/ex_70.mp4,Fugiat delectus possimus numquam at nisi. Sed aliquid eveniet ut hic possimus vero.,beginner
71,Mandatory Zero Tolerance Intranet,Shoulders,cardio,dumbbells,https://fightfit.ai/videos/ex_71.mp4,Beatae commodi quia veniam. Repellendus porro earum repudiandae alias tempora explicabo.,intermediate
72,Future-Proofed Next Generation Open Architecture,Triceps,strength,dumbbells,https://fightfit.ai/videos/ex_72.mp4,Soluta ipsum dolorum explicabo.,intermediate
73,Ameliorated Even-Keeled Model,Biceps,plyometric,kettlebell,https://fightfit.ai/videos/ex_73.mp4,Porro quae numquam expedita. Dolore earum nulla sunt error.,beginner
74,Realigned Systematic Structure,Full Body,stretch,bodyweight,https://fightfit.ai/videos/ex_74.mp4,Reprehenderit similique fugiat aut cumque.,advanced
75,Extended Object-Oriented Internet Solution,Legs,stretch,bodyweight,https://fightfit.ai/videos/ex_75.mp4,Rerum blanditiis facilis consectetur.,advanced
76,Versatile Empowering Project,Chest,plyometric,kettlebell,https://fightfit.ai/videos/ex_76.mp4,Repellendus odio dicta esse voluptatibus ab. Praesentium dignissimos tenetur sint.,intermediate
77,De-Engineered Secondary Initiative,Biceps,strength,bodyweight,https://fightfit.ai/videos/ex_77.mp4,Eos facilis necessitatibus. Culpa quas consequatur laudantium. Iste voluptatem nisi nemo repellat.,beginner
78,Function-Based Foreground Contingency,Chest,cardio,resistance_bands,https://fightfit.ai/videos/ex_78.mp4,Iure nulla error eos error sed provident rem. Quis saepe maiores at veritatis asperiores nisi.,intermediate
79,Face-To-Face Neutral Superstructure,Back,plyometric,resistance_bands,https://fightfit.ai/videos/ex_79.mp4,Ducimus quod eos molestias velit. Illum nihil ex non. Aut consectetur numquam dicta. Asperiores cum ex pariatur ipsum fugit.,advanced
80,Ameliorated System-Worthy Standardization,Biceps,stretch,bodyweight,https://fightfit.ai/videos/ex_80.mp4,Fuga molestiae doloribus culpa expedita perferendis voluptate. Maxime dolorem nam at minima quo commodi. Rerum fugit a soluta similique maiores.,beginner
81,Public-Key Fault-Tolerant Internet Solution,Legs,stretch,bodyweight,https://fightfit.ai/videos/ex_81.mp4,Quibusdam aliquam blanditiis deserunt doloremque sed minus. Dolor velit deleniti cumque architecto cumque.,intermediate
82,Persevering Multimedia Function,Full Body,stretch,bodyweight,https://fightfit.ai/videos/ex_82.mp4,Voluptate iste quam ut qui eum. Maxime praesentium reiciendis reiciendis neque veritatis. Ipsa occaecati dolorum magni placeat at.,intermediate
83,Decentralized User-Facing Task-Force,Biceps,cardio,kettlebell,https://fightfit.ai/videos/ex_83.mp4,Nostrum vitae similique natus numquam nemo sunt. Cum nostrum odio pariatur repudiandae. A tempora debitis ut nobis ab.,advanced
84,Ergonomic Leadingedge Initiative,Legs,stretch,bodyweight,https://fightfit.ai/videos/ex_84.mp4,Recusandae mollitia assumenda sapiente amet. Delectus tempore iure dolores.,intermediate
85,Centralized Bi-Directional Software,Core,cardio,resistance_bands,https://fightfit.ai/videos/ex_85.mp4,Quam neque est vel. Maiores sequi beatae eligendi ad quos nobis necessitatibus. Modi in nam expedita quam odit.,intermediate
86,Distributed Grid-Enabled Monitoring,Full Body,plyometric,kettlebell,https://fightfit.ai/videos/ex_86.mp4,Officia similique veniam nostrum porro sequi. Tempora debitis incidunt totam odio quos assumenda. Facilis id laboriosam voluptate veritatis.,beginner
87,Public-Key Asymmetric Encryption,Triceps,cardio,bodyweight,https://fightfit.ai/videos/ex_87.mp4,Omnis pariatur delectus et cumque commodi.,intermediate
88,Monitored Client-Driven Matrices,Chest,plyometric,kettlebell,https://fightfit.ai/videos/ex_88.mp4,A harum magnam similique nobis rem.,intermediate
89,Virtual Content-Based Ability,Biceps,stretch,bodyweight,https://fightfit.ai/videos/ex_89.mp4,Sint eveniet voluptas facere nostrum cumque. Expedita ex magnam omnis quo ratione recusandae. Excepturi nihil earum sunt. Quos impedit distinctio alias corporis voluptates.,beginner
90,Grass-Roots Fresh-Thinking Neural-Net,Chest,stretch,bodyweight,https://fightfit.ai/videos/ex_90.mp4,Reprehenderit saepe natus libero illo vitae hic. Aliquid neque ratione aliquam ex magnam quo. Veritatis quaerat delectus eius similique numquam dicta.,beginner
91,Monitored Fresh-Thinking Project,Triceps,plyometric,dumbbells,https://fightfit.ai/videos/ex_91.mp4,Sed non laborum tempore consequuntur tenetur. Culpa voluptas porro nulla vero. Excepturi consectetur esse repellat voluptates porro alias facere.,beginner
92,Front-Line Value-Added Throughput,Triceps,cardio,kettlebell,https://fightfit.ai/videos/ex_92.mp4,Provident rerum nesciunt animi cupiditate. Nesciunt perspiciatis suscipit vel voluptates.,intermediate
93,Enterprise-Wide Neutral Collaboration,Shoulders,stretch,bodyweight,https://fightfit.ai/videos/ex_93.mp4,Expedita ducimus ea perferendis recusandae nihil. Earum iure quasi reprehenderit qui quas. Reiciendis beatae deleniti cupiditate.,intermediate
94,Progressive Executive Service-Desk,Shoulders,strength,bodyweight,https://fightfit.ai/videos/ex_94.mp4,Tempore quisquam animi ipsam ea ipsa odit. Iure iure explicabo libero quisquam fugit qui. Dignissimos laborum ex est facilis adipisci.,intermediate
95,Team-Oriented Zero Administration Groupware,Shoulders,cardio,dumbbells,https://fightfit.ai/videos/ex_95.mp4,Autem neque reprehenderit reprehenderit provident dignissimos nam. Vero ut quisquam dicta occaecati saepe.,intermediate
96,Upgradable Bottom-Line Emulation,Chest,stretch,bodyweight,https://fightfit.ai/videos/ex_96.mp4,Ullam ad est. Saepe quisquam quae odit sapiente dolor. Numquam earum earum illo assumenda reiciendis sequi voluptas. Vero aperiam voluptate error tempore nobis magnam.,beginner
97,Multi-Layered Exuding Frame,Core,cardio,resistance_bands,https://fightfit.ai/videos/ex_97.mp4,Ducimus nisi eius nam reprehenderit ad doloremque vitae. Atque iure neque minus molestias sint asperiores. Beatae pariatur sequi quidem ipsa amet.,advanced
98,Enhanced Full-Range Algorithm,Triceps,cardio,bodyweight,https://fightfit.ai/videos/ex_98.mp4,Dolores provident dicta nemo fugit ea perspiciatis mollitia. Laborum at accusantium officia non modi vero. Doloribus iure quo possimus commodi aspernatur. Eum vitae dolore explicabo quas.,beginner
99,Optional Composite Encoding,Biceps,strength,bodyweight,https://fightfit.ai/videos/ex_99.mp4,Maiores labore illum. Ipsam occaecati libero.,beginner
100,Decentralized Mobile Middleware,Legs,cardio,bodyweight,https://fightfit.ai/videos/ex_100.mp4,Ea at provident possimus delectus quas. Autem fugiat quod sit.,advanced
101,User-Centric Encompassing Structure,Legs,strength,dumbbells,https://fightfit.ai/videos/ex_101.mp4,Non velit sequi consectetur modi reprehenderit. Magni quos quam ea. Ea error ab.,intermediate
102,Cross-Group Foreground Strategy,Full Body,strength,dumbbells,https://fightfit.ai/videos/ex_102.mp4,Laborum nisi dolores quae doloribus nobis maxime. Vitae similique sint dolorum aspernatur itaque.,beginner
103,Self-Enabling 6Thgeneration Time-Frame,Full Body,stretch,bodyweight,https://fightfit.ai/videos/ex_103.mp4,Inventore repudiandae in commodi. Corporis aspernatur alias possimus unde.,advanced
104,Multi-Layered Methodical Groupware,Biceps,cardio,kettlebell,https://fightfit.ai/videos/ex_104.mp4,Tempore velit necessitatibus necessitatibus animi. Ut facere consequuntur commodi. Ipsum officia velit asperiores sequi voluptate odit iusto. Hic repudiandae sint totam sequi.,beginner
105,Automated 24Hour Matrices,Core,plyometric,dumbbells,https://fightfit.ai/videos/ex_105.mp4,Nihil nesciunt sed aliquam saepe modi. Culpa repellat quidem earum praesentium tempore corporis.,intermediate
106,Stand-Alone Motivating Paradigm,Legs,stretch,bodyweight,https://fightfit.ai/videos/ex_106.mp4,Corporis excepturi facilis ducimus. Doloribus non ipsam asperiores exercitationem sit recusandae labore. Nobis hic dolor quia possimus rerum.,intermediate
107,Horizontal System-Worthy Standardization,Back,plyometric,bodyweight,https://fightfit.ai/videos/ex_107.mp4,Nulla quos numquam. Cumque consectetur veniam quas explicabo natus.,intermediate
108,Exclusive Secondary Contingency,Full Body,cardio,kettlebell,https://fightfit.ai/videos/ex_108.mp4,Consectetur qui ipsam adipisci aliquid voluptatum quasi similique. Aliquam accusantium voluptates voluptatibus cupiditate.,advanced
109,Phased Analyzing Alliance,Back,plyometric,kettlebell,https://fightfit.ai/videos/ex_109.mp4,Possimus error animi laboriosam ducimus eum voluptatibus. Optio nisi dolorem natus impedit quam laborum sit. Pariatur sit debitis illum dolor.,beginner
110,User-Centric Next Generation Challenge,Triceps,cardio,dumbbells,https://fightfit.ai/videos/ex_110.mp4,Sint quam maxime aspernatur laborum. Officiis qui porro eaque mollitia illum.,intermediate
111,Adaptive Hybrid Approach,Shoulders,stretch,bodyweight,https://fightfit.ai/videos/ex_111.mp4,Minima aliquam recusandae iusto. Blanditiis optio dolorum maiores vel.,beginner
112,Pre-Emptive System-Worthy Paradigm,Full Body,plyometric,resistance_bands,https://fightfit.ai/videos/ex_112.mp4,Eos quam incidunt. Dolorum atque dolor facere. Nihil voluptates facere adipisci labore mollitia.,advanced
113,Assimilated Bandwidth-Monitored Capacity,Biceps,cardio,dumbbells,https://fightfit.ai/videos/ex_113.mp4,Amet necessitatibus consequatur expedita. Quidem tenetur cum rerum maxime veritatis quas.,intermediate
114,Diverse 5Thgeneration Capability,Legs,plyometric,dumbbells,https://fightfit.ai/videos/ex_114.mp4,Doloribus error consequuntur minus vitae voluptatem aspernatur velit. Nam earum consequuntur repellat laboriosam explicabo atque.,beginner
115,Managed Interactive Circuit,Triceps,cardio,kettlebell,https://fightfit.ai/videos/ex_115.mp4,Iure asperiores eius similique consequatur exercitationem quis. Tempore qui aliquid saepe omnis doloremque laboriosam nulla. Esse iste enim enim.,beginner
116,Streamlined Transitional Pricing Structure,Shoulders,cardio,resistance_bands,https://fightfit.ai/videos/ex_116.mp4,Doloremque officiis optio esse occaecati exercitationem. Corrupti eum itaque nobis.,beginner
117,Persistent Object-Oriented Hierarchy,Chest,stretch,bodyweight,https://fightfit.ai/videos/ex_117.mp4,Consequatur eius commodi accusamus doloribus debitis omnis. Quod nihil aliquam laboriosam repellendus aperiam optio. Explicabo accusantium error dolor.,beginner
118,Customer-Focused Content-Based Superstructure,Core,plyometric,kettlebell,https://fightfit.ai/videos/ex_118.mp4,Commodi omnis perspiciatis molestiae repellendus sed. Illum earum quis expedita molestias quod ea quas. Rem ipsam sequi recusandae fugiat autem quam earum.,intermediate
119,Expanded Stable Task-Force,Full Body,strength,dumbbells,https://fightfit.ai/videos/ex_119.mp4,Mollitia suscipit eaque repellendus quibusdam harum. Natus aspernatur laudantium.,intermediate
120,Compatible Bottom-Line Portal,Chest,stretch,bodyweight,https://fightfit.ai/videos/ex_120.mp4,Sunt labore reiciendis neque. Provident dolore est ipsum dolore quae dignissimos.,beginner
121,Managed Fresh-Thinking Orchestration,Core,plyometric,kettlebell,https://fightfit.ai/videos/ex_121.mp4,Ullam laudantium magnam laboriosam ipsam. Qui animi aut voluptate cum quisquam.,advanced
122,Front-Line Well-Modulated Conglomeration,Shoulders,cardio,bodyweight,https://fightfit.ai/videos/ex_122.mp4,Nam at repellat dolores voluptas numquam sunt inventore. Expedita voluptates ad cupiditate excepturi atque molestiae. Sed illo nesciunt maiores voluptates.,intermediate
123,Operative Interactive Benchmark,Full Body,strength,resistance_bands,https://fightfit.ai/videos/ex_123.mp4,Beatae labore libero delectus. Perspiciatis neque sapiente in minima.,beginner
124,Cross-Platform Optimizing Service-Desk,Legs,plyometric,dumbbells,https://fightfit.ai/videos/ex_124.mp4,Minima illo officia temporibus blanditiis nisi iure. Doloribus recusandae sunt veniam tempora.,intermediate
125,Down-Sized Eco-Centric Infrastructure,Chest,stretch,bodyweight,https://fightfit.ai/videos/ex_125.mp4,At inventore expedita delectus quos expedita. Nemo placeat suscipit quaerat neque.,advanced
126,Virtual Executive Process Improvement,Full Body,strength,dumbbells,https://fightfit.ai/videos/ex_126.mp4,Nam error magni consequatur. Reprehenderit maxime quisquam et maiores.,intermediate
127,Universal Didactic Benchmark,Chest,strength,bodyweight,https://fightfit.ai/videos/ex_127.mp4,At id praesentium voluptas soluta omnis. Adipisci quas ea voluptates explicabo quidem porro. Ut qui pariatur sequi minus laboriosam libero.,intermediate
128,Sharable Multi-Tasking Installation,Biceps,strength,dumbbells,https://fightfit.ai/videos/ex_128.mp4,At doloremque quae doloremque fugit pariatur sunt. Exercitationem nostrum esse illum voluptatibus.,advanced
129,Devolved Homogeneous Monitoring,Chest,plyometric,bodyweight,https://fightfit.ai/videos/ex_129.mp4,Impedit illum eum quos impedit magnam. Quas officiis debitis perspiciatis commodi repellendus eveniet.,beginner
130,Business-Focused Regional Moderator,Triceps,strength,bodyweight,https://fightfit.ai/videos/ex_130.mp4,Omnis cumque repudiandae adipisci inventore. Non provident aliquam non illum maxime. Ullam cupiditate in voluptas deleniti saepe aut.,beginner
131,Switchable Regional Portal,Chest,stretch,bodyweight,https://fightfit.ai/videos/ex_131.mp4,Ipsa officiis nulla animi ut. Corporis dolores similique nemo assumenda. Laboriosam qui unde praesentium.,intermediate
