fighter,age,height,wins_total,losses_total,SLpM_total,SApM_total
Antonio Carlos Junior,34.0,187.96,11.0,5.0,1.95,2.14
Antonio Carvalho,44.0,175.26,15.0,6.0,3.03,3.62
Antonio Dos Santos,35.0,177.8,6.0,4.0,5.4,3.94
Antonio McKee,54.0,172.72,29.0,6.0,1.37,0.74
Antonio Mendes,42.0,190.5,18.0,13.0,1.34,6.85
Antonio Rodrigo Nogueira,47.0,190.5,34.0,10.0,1.95,2.4
Antonio Silva,44.0,193.04,19.0,12.0,2.89,3.09
Anying Wang,32.0,182.88,2.0,1.0,1.32,1.63
Aoriqileng,30.0,170.18,25.0,10.0,5.31,6.03
Ariane Carnelossi,31.0,157.48,14.0,3.0,3.04,4.72
Ariane Lipski,30.0,167.64,17.0,8.0,4.27,4.23
Ariel Beck,33.0,167.64,4.0,5.0,4.44,4.31
Arjan Bhullar,37.0,185.42,9.0,1.0,2.33,3.25
Arman Tsarukyan,27.0,170.18,21.0,3.0,3.85,1.9099999999999997
Armen Petrosyan,33.0,190.5,9.0,3.0,5.69,2.9
Arnold Allen,30.0,172.72,19.0,3.0,3.39,2.91
Artem Lobov,37.0,175.26,13.0,15.0,3.52,4.82
Asbel Cancio,,177.8,0.0,1.0,0.0,0.0
Ashkan Mokhtarian,38.0,167.64,13.0,3.0,1.95,3.66
Ashlee Evans-Smith,36.0,172.72,6.0,6.0,4.03,4.59
Ashley Yoder,36.0,170.18,8.0,9.0,3.42,4.13
Askar Askarov,31.0,167.64,14.0,1.0,3.05,2.8
Askar Mozharov,29.0,190.5,19.0,13.0,0.43,4.07
Aspen Ladd,29.0,167.64000000000001,9.0,3.0,3.78,4.65
Assuerio Silva,49.0,177.80000000000004,16.0,8.0,1.42,4.2
Asu Almabayev,30.0,162.56,19.0,2.0,3.02,1.42
Augusto Mendes,41.0,167.64,6.0,2.0,2.42,3.91
Augusto Montano,39.0,185.42,15.0,3.0,3.4599999999999995,2.66
Augusto Sakai,32.0,190.5,16.0,5.0,4.6,3.83
Austen Lane,36.0,198.12,12.0,4.0,4.48,2.85
Austin Arnett,32.0,182.88,16.0,6.0,4.52,6.38
Austin Hubbard,32.0,177.8,16.0,7.0,3.83,3.37
Austin Lingo,29.0,177.8,9.0,3.0,3.8600000000000003,4.86
Austin Springer,36.0,172.72,12.0,4.0,3.54,3.15
Azamat Gashimov,33.0,167.64,8.0,3.0,1.24,4.75
Azamat Murzakanov,34.0,177.80000000000004,13.0,0.0,4.57,3.1199999999999997
Azat Maksum,29.0,170.18,17.0,1.0,2.8,5.23
Azunna Anyanwu,42.0,185.42,14.0,5.0,2.47,2.47
BJ Penn,45.0,175.26,16.0,14.0,2.76,3.2
Barb Honchak,44.0,162.56,10.0,4.0,4.04,4.67
Bart Palaszewski,40.0,175.26,36.0,17.0,2.67,3.97
Bartosz Fabinski,37.0,182.88,15.0,5.0,2.23,1.46
Bas Rutten,59.0,185.42,28.0,4.0,5.59,2.06
Bassil Hafez,32.0,180.34,8.0,4.0,2.13,5.53
Batgerel Danaa,34.0,170.18,12.0,5.0,5.38,4.21
Bea Malecki,32.0,175.26,4.0,1.0,6.84,6.96
Bec Rawlings,35.0,167.64000000000001,7.0,8.0,4.48,5.660000000000001
Bekzat Almakhan,26.0,170.18,11.0,2.0,0.2,4.53
Belal Muhammad,35.0,180.34,23.0,3.0,4.55,3.64
Ben Alloway,43.0,180.34,18.0,8.0,1.28,1.8999999999999997
Ben Askren,39.0,180.34,19.0,2.0,3.64,5.66
Ben Earwood,,172.72,12.0,3.0,0.5,0.2
Ben Nguyen,35.0,165.1,16.0,8.0,3.5100000000000002,3.0100000000000002
Ben Rothwell,42.0,193.04,39.0,14.0,3.71,4.63
Ben Saunders,40.0,187.96,22.0,13.0,3.23,3.5799999999999996
Ben Sosoli,34.0,182.88,7.0,3.0,2.31,4.3
Ben Wall,35.0,177.8,8.0,7.0,1.47,8.53
Benardo Sopaj,23.0,167.64,11.0,3.0,3.06,4.56
Beneil Dariush,34.0,177.8,22.0,6.0,3.78,2.65
Benito Lopez,29.0,177.8,10.0,2.0,4.39,5.18
Benji Radach,44.0,177.8,21.0,7.0,2.62,2.31
Benoit Saint Denis,28.0,180.34,13.0,2.0,5.7,4.9799999999999995
Benson Henderson,40.0,175.26,24.0,7.0,2.93,1.7900000000000003
Bentley Syler,41.0,162.56,5.0,1.0,1.3,1.73
Bernardo Magalhaes,42.0,175.26,13.0,4.0,1.8,3.37
Besam Yousef,39.0,180.34,7.0,4.0,3.14,3.98
Bethe Correia,40.0,165.1,11.0,6.0,4.37,4.93
Bevon Lewis,32.0,190.5,7.0,3.0,3.73,2.67
Bharat Kandare,36.0,170.18,5.0,3.0,0.7,1.88
Bibulatov Magomed,35.0,165.1,14.0,2.0,3.6,1.83
Bill Algeo,34.0,182.88,18.0,7.0,6.11,4.41
Bill Mahood,57.0,190.5,20.0,7.0,1.54,3.59
Billy Goff,25.0,177.8,9.0,2.0,10.22,4.3
Billy Miles,45.0,177.8,2.0,2.0,0.0,1.25
Billy Quarantillo,35.0,177.8,18.0,6.0,7.360000000000001,5.57
Blagoy Ivanov,37.0,180.34,19.0,6.0,3.25,4.2
Blake Bilder,33.0,172.72,8.0,2.0,3.81,4.15
Blood Diamond,35.0,180.34,3.0,3.0,3.1199999999999997,2.17
Bo Nickal,28.0,185.42,5.0,0.0,2.76,0.55
Bob Cook,,175.26,5.0,0.0,0.0,0.0
Bob Gilstrap,,190.5,5.0,7.0,0.0,0.0
Bobby Green,37.0,177.8,31.0,15.0,6.14,3.74
Bobby Hoffman,55.0,187.96,36.0,10.0,2.02,1.32
Bobby Moffett,33.0,177.8,13.0,5.0,3.41,3.15
Bobby Nash,34.0,182.88,8.0,4.0,3.42,3.9500000000000006
Bobby Southworth,54.0,187.96,10.0,6.0,0.99,1.38
Bobby Voelker,44.0,182.88,19.0,13.0,4.01,5.84
Bogdan Guskov,31.0,190.5,15.0,3.0,2.43,5.81
Bojan Mihajlovic,43.0,180.34,10.0,6.0,1.23,5.95
Bojan Velickovic,35.0,182.88,15.0,6.0,2.18,2.31
Bolaji Oki,28.0,177.8,9.0,1.0,5.18,2.53
Boston Salmon,33.0,175.26,6.0,3.0,4.13,7.75
Brad Blackburn,46.0,177.8,18.0,13.0,4.55,3.59
Brad Gumm,,180.34,10.0,6.0,0.0,0.0
Brad Imes,47.0,200.66,13.0,7.0,2.73,4.24
Brad Katona,32.0,167.64,15.0,3.0,4.71,4.98
Brad Kohler,59.0,175.26,12.0,15.0,0.0,0.0
Brad Morris,44.0,187.96,10.0,6.0,0.5,6.95
Brad Pickett,45.0,167.64000000000001,25.0,14.0,3.02,4.63
Brad Riddell,32.0,170.18,10.0,4.0,4.71,3.53
Brad Scott,34.0,185.42,11.0,6.0,3.52,4.31
Brad Tavares,36.0,185.42,20.0,10.0,3.3800000000000003,3.15
Brady Hiestand,24.0,172.72,8.0,2.0,2.93,3.65
Branden Lee Hinkle,50.0,190.5,17.0,11.0,2.61,3.91
Brandon Davis,33.0,177.8,14.0,10.0,4.68,4.62
Brandon Jenkins,32.0,182.88,15.0,9.0,2.93,8.05
Brandon Melendez,41.0,180.34,25.0,25.0,0.84,0.56
Brandon Moreno,30.0,170.18,21.0,8.0,3.87,3.63
Brandon Royval,31.0,175.26,16.0,7.0,4.33,3.42
Brandon Thatch,38.0,187.96,11.0,5.0,2.7000000000000006,3.6300000000000003
Brandon Vera,46.0,190.5,15.0,7.0,3.03,2.81
Brandon Wolff,48.0,175.26,7.0,5.0,0.47,10.91
Braxton Smith,34.0,180.34,5.0,2.0,6.46,11.54
Brendan Allen,28.0,187.96,23.0,5.0,3.87,3.6000000000000005
Brendan Loughnane,34.0,177.8,17.0,3.0,6.23,6.7
Brendan O'Reilly,36.0,170.18,6.0,3.0,1.9,2.77
Brendan Schaub,41.0,193.04,10.0,5.0,2.92,2.22
Brendon Marotte,28.0,175.26,8.0,2.0,3.0,42.0
Brendson Ribeiro,27.0,190.5,15.0,6.0,8.41,6.77
Brett Johns,32.0,170.18,17.0,2.0,2.86,3.84
Brian Bowles,43.0,170.18,10.0,3.0,2.36,2.98
Brian Camozzi,32.0,187.96,7.0,5.0,3.15,6.39
Brian Cobb,,180.34,20.0,9.0,0.0,3.68
Brian Ebersole,43.0,182.88,51.0,18.0,2.32,2.14
Brian Foster,39.0,175.26,27.0,10.0,3.3,1.6299999999999997
Brian Gassaway,51.0,185.42,29.0,20.0,0.34,3.65
Brian Geraghty,43.0,170.18,26.0,18.0,0.47,9.77
Brian Houston,42.0,187.96,4.0,6.0,1.9,3.67
Brian Johnston,,190.5,5.0,5.0,0.0,0.0
Brian Kelleher,37.0,167.64,24.0,15.0,3.39,4.64
Brian Melancon,41.0,172.72,7.0,3.0,4.18,3.64
Brian Ortega,33.0,172.72,16.0,3.0,4.07,6.54
Brian Stann,43.0,185.42,12.0,6.0,3.28,2.65
Brianna Fortino,30.0,152.4,9.0,3.0,3.53,3.23
Bristol Marunde,41.0,185.42,16.0,10.0,1.42,4.4
Brock Jardine,38.0,180.34,12.0,6.0,1.06,3.34
Brock Larson,46.0,180.34,42.0,10.0,1.39,1.5
Brock Lesnar,46.0,190.5,5.0,3.0,3.53,2.11
Brodie Farber,43.0,185.42,16.0,7.0,1.69,2.17
Brogan Walker,35.0,162.56,8.0,4.0,2.04,3.7
Brok Weaver,32.0,182.88,15.0,6.0,4.78,4.35
Bruna Brasil,30.0,167.64,9.0,4.0,2.94,3.92
Brunno Ferreira,31.0,177.80000000000004,11.0,1.0,5.0,4.17
Bruno Korea,32.0,167.64,7.0,3.0,2.12,3.96
Bruno Santos,36.0,175.26,15.0,2.0,1.18,2.27
Bruno Silva,34.0,175.0646153846154,19.153846153846153,8.076923076923077,3.899230769230769,4.468461538461539
Bruno Souza,28.0,177.8,10.0,3.0,3.73,5.3
Bryan Barberena,34.0,182.88,18.0,12.0,5.35,4.59
Bryan Battle,29.0,185.42,11.0,2.0,4.52,3.74
Bryan Caraway,39.0,172.72,21.0,9.0,2.53,3.6100000000000003
Bryce Mitchell,29.0,177.8,16.0,3.0,2.3,1.63
Bubba Bush,38.0,182.88,8.0,3.0,0.63,7.01
Buddy Roberts,41.0,187.96,12.0,3.0,2.17,2.08
Byron Bloodworth,40.0,172.72,6.0,3.0,1.82,5.18
CB Dollaway,40.0,187.96,17.0,9.0,2.65,2.58
CJ Keith,37.0,182.88,8.0,4.0,0.86,1.82
CJ Vergara,32.0,167.64,12.0,5.0,5.24,4.62
CM Punk,45.0,185.42,0.0,1.0,1.1,4.87
Cain Carrizosa,37.0,172.72,10.0,3.0,2.72,5.8
Cain Velasquez,41.0,185.42,14.0,3.0,6.37,2.33
Caio Borralho,31.0,177.8,15.0,1.0,2.73,1.98
Caio Machado,29.0,193.04,8.0,2.0,6.57,1.87
Caio Magalhaes,36.0,185.42,10.0,3.0,2.27,2.78
Cal Worsham,,180.34,13.0,10.0,0.0,0.0
Cale Yarbrough,37.0,185.42,8.0,3.0,3.16,10.0
Callan Potter,39.0,182.88,18.0,9.0,3.18,4.72
Calvin Kattar,36.0,180.34,23.0,7.0,5.12,7.099999999999999
Cameron Dollar,36.0,180.34,11.0,5.0,5.04,2.94
Cameron Else,36.0,175.26,10.0,6.0,1.99,8.09
Cameron Saaiman,23.0,172.72,9.0,2.0,5.32,4.18
Cameron VanCamp,30.0,187.96,15.0,7.0,5.31,6.41
Caol Uno,48.0,170.18,33.0,19.0,1.91,1.9
Caolan Loughran,27.0,167.64,8.0,1.0,3.2,5.6
Carl Deaton,34.0,170.18,17.0,7.0,1.53,1.85
Carla Esparza,36.0,154.94,20.0,7.0,2.1600000000000006,2.69
Carlo Pedersoli Jr.,30.0,180.34,11.0,3.0,4.17,4.12
Carlo Prater,42.0,180.34,31.0,18.0,2.03,4.07
Carlos Barreto,,193.04,14.0,9.0,0.0,0.0
Carlos Candelario,32.0,172.72,8.0,3.0,3.97,5.17
Carlos Condit,39.0,187.96,32.0,14.0,3.66,2.67
Carlos Eduardo Rocha,42.0,177.80000000000004,9.0,4.0,1.24,1.8500000000000003
Carlos Felipe,29.0,182.88,11.0,2.0,4.88,5.6
Carlos Hernandez,30.0,172.72,9.0,3.0,4.95,4.54
Carlos Huachin,27.0,162.56,10.0,5.0,2.1,4.8
Carlos Mota,28.0,162.56,8.0,2.0,0.8,1.13
Carlos Newton,47.0,175.26,16.0,14.0,0.65,1.55
Carlos Prates,30.0,185.42,18.0,6.0,4.38,5.95
Carlos Ulberg,33.0,193.04,10.0,1.0,7.29,3.59
Carlos Vera,36.0,167.64,11.0,4.0,0.8,2.53
Carls John De Tomas,27.0,165.1,6.0,2.0,1.74,3.93
Carlston Harris,36.0,182.88,19.0,5.0,2.93,2.44
Carlton Minus,30.0,177.8,10.0,3.0,3.5,4.97
Carmelo Marrero,43.0,182.88,16.0,6.0,0.84,2.04
Caros Fodor,40.0,175.26,11.0,6.0,2.76,2.83
Casey Kenney,33.0,170.18,16.0,4.0,4.85,4.67
Casey O'Neill,26.0,167.64,9.0,2.0,8.41,6.3
Cat Zingano,41.0,167.64000000000001,10.0,4.0,2.57,1.6300000000000001
Cathal Pendred,36.0,185.42,17.0,4.0,2.49,3.01
Cesar Arzamendia,33.0,180.34,8.0,3.0,5.37,5.2
Cesar Marscucci,,185.42,3.0,2.0,0.0,0.0
Cezar Ferreira,39.0,185.42,13.0,8.0,1.9,2.44
Chad Anheliger,37.0,167.64,13.0,7.0,3.6,3.11
Chad Griggs,45.0,185.42,11.0,3.0,2.67,2.22
Chad Laprise,37.0,177.8,13.0,4.0,4.78,3.59
Chad Mendes,38.0,167.64000000000001,18.0,5.0,2.78,2.35
Chad Reiner,42.0,180.34,33.0,18.0,0.53,1.97
Chael Sonnen,46.0,185.42,29.0,15.0,3.0800000000000005,1.1
Chan Sung Jung,37.0,170.18,17.0,8.0,3.93,4.52
Chan-Mi Jeon,26.0,165.1,5.0,2.0,6.23,7.77
Chance Rencountre,37.0,187.96,14.0,4.0,1.1,3.62
Charalampos Grigoriou,31.0,170.18,8.0,4.0,2.13,5.56
Charles Byrd,40.0,177.8,10.0,7.0,3.43,2.63
Charles Johnson,33.0,175.26,14.0,6.0,4.45,3.15
Charles Jourdain,28.0,175.26,15.0,7.0,5.56,4.31
Charles McCarthy,43.0,177.80000000000004,10.0,5.0,0.18000000000000002,4.03
Charles Oliveira,34.0,177.8,34.0,9.0,3.54,3.19
Charles Radtke,33.0,175.26,9.0,3.0,3.29,3.03
Charles Rosa,37.0,175.26000000000002,14.0,8.0,3.08,3.86
Charlie Brenneman,43.0,177.8,19.0,8.0,1.5199999999999998,1.55
Charlie Campbell,28.0,182.88,8.0,2.0,11.03,5.42
Charlie Ontiveros,32.0,187.96,11.0,9.0,1.89,5.86
Charlie Valencia,49.0,160.02,12.0,7.0,2.58,2.61
Charlie Ward,43.0,180.34,3.0,3.0,1.64,7.21
Chas Skelly,38.0,180.34,19.0,3.0,2.01,3.2100000000000004
Chase Gormley,,190.5,14.0,6.0,3.6,6.03
Chase Hooper,24.0,185.42,13.0,3.0,4.86,3.59
Chase Sherman,34.0,193.04,16.0,12.0,6.04,6.65
Che Mills,41.0,185.42,16.0,10.0,2.08,2.8699999999999997
Cheick Kongo,48.0,193.04,27.0,10.0,3.33,1.28
Chelsea Chandler,33.0,172.72,6.0,2.0,3.4500000000000006,3.09
Chepe Mariscal,31.0,170.18,15.0,6.0,4.67,3.95
Cheyanne Vlismas,28.0,160.02,7.0,3.0,4.93,2.57
Chico Camus,39.0,167.64000000000001,17.0,7.0,2.5800000000000005,2.46
Chidi Njokuani,35.0,190.5,22.0,10.0,4.04,3.19
Chris Avila,31.0,177.8,5.0,4.0,2.37,4.17
Chris Barnett,37.0,175.26,23.0,8.0,4.41,5.87
Chris Beal,38.0,170.18,10.0,5.0,3.45,3.18
Chris Brennan,52.0,172.72,21.0,13.0,0.6,0.9700000000000001
Chris Camozzi,37.0,187.96,24.0,13.0,3.57,2.96
Chris Cariaso,42.0,160.02,17.0,8.0,3.3500000000000005,2.23
Chris Clements,48.0,177.8,12.0,6.0,3.2,2.37
Chris Condo,,182.88,0.0,1.0,0.0,0.0
Chris Cope,41.0,182.88,8.0,4.0,3.9599999999999995,4.82
